;accountId;id;name;profileIconId;puuid;revisionDate;summonerLevel
0;tgs-MSZ1ya136Z1kx_CoprjG4CzsD2DHnw-mfPKEq9Mp;ctEb65HPcpRPz08jhLn6_Y0nCC_6LDj7-JqHqOea-ybsqQ;꼴랑이;3227;WmKKw-Ke_dsng2WTfOmJZPj3S4ggsh5KbW3XscoO901yRGlooRIuPMw69GMvHvBd-w7zd2swUHdgjw;1558937785000;60
0;16q-qXpIVtIjvjleH95jWSseXjHgz93taSMx3WrhoKXs;7A3JbrkU1KdtsokNYXkGQ8N7vTfjVVRmVOGH249Ek1N-2Q;Gen G TalRuler;10;pMXmraRxSUHptml9TcdYxUFLU9qGXjwEk3atMoldvrEDy1CYEG0G7pEXel3cGyQpyBITz6Drk4wNHg;1558951906000;97
0;g_hLGoCcXl6v5LuViDyvjvH3bYNhnIWK4e10ddBTuLpF0fOpxBRKVm1F;pNJtwP0ormBejl_9E_yGUiatFcQhwAzZh9s-KlavrvhLKW8;Mitsuki9;4104;VoUeP_1MScjs4BeFeaPLKuLJnUyFQdAiGlkMiYFJDZk7p-xCuhlr2lsmYKuSdGpvIpKS6Y5AD-VROw;1558429847000;72
0;-Pl_5OPKz9Oqd9pUB_t8iynoThziPGW6W5uttAvSfXrzKv4;dVCdhNYXM6Uv1y27dCM2qGD7n8vQWebm-YTpdLpVwYGW6W0;빛정호;3478;EnSpUeN84LhgOgfZpJe52MnmkTXoyw5AvAud0y4UVAs6bFUJjqRPHNvPi2yLgMBDZgUIWYZXxZpX3A;1558957367000;95
0;Y8116akwrCgsR8WVhCBmWT-AQbHYRLW9kx9BSQdJoeQM;EszEPBoplucoUn83FxiY-1onMCPLWrk1OEB4KzZb_LVPxQ;Tottenhann;588;MvXKBk-nh_gh6ETVhUvQIywEy6mcWHBgf46mwje6DBtSjR8uMxsL35Yq0UEwD2fVsT0Kckp77s5GEA;1558421228000;292
0;b8-6Im2ktiVl5H_obb0mp8W7-8NFxb4ImUHuXPboPCqWAf8;HUFj2pUIYque1_jpiwULZLmIiD6QDqQ6VSQyzCLZvT6LO4s;Qout;3478;IxHYZ4PvXHyVK2G1lZVX2qrWLRdWT5n4RQbc-kFxllbJvgLzQ6ojoJDHPVf2G8uNIQpqyoNWz4XU4w;1558989216000;144
0;jgqPRLq119RekUvDIdFTyhL_2eMUGZStei0iQzJ-P8YZ9-0;RG1a7b5LdrujXzWs2VHOGZj4Qwrmea4Cu_2P2a2Fqe1Jkz0;MAKJANG;4025;Sdmj7XQY_FswdIV5WWIPRc_Rn1z_xKkb6XLlo5oQCWFcIiCjkIaoP_osr2woWzipmOr6zDX3led3QQ;1558947735000;199
0;hASrnc9lqjhsWufW9CONI5tI6Kq1xBc4MiXM59VbkjEI_aNZ30xtEKjz;BQwQDxODSUUYSNdAGHduXy2asNuOqBPPPXItDomaPQ5YBFw;be happy smile;27;l0IcMfkZpIfXxmx3UfwFppsqf0H55gE6Y6Kh6oaPdMYGpml4gGKiuRu8N3nO6LITSakG9NcSyr8iCw;1558674750000;40
0;4SacrL3_m8-EYNXYmfTITiCGxMYaOPDCpn_a6tfV5N6INFs;vX96HXQvzZLPDWKlImSAdUgc0GcwN1IP64ns0XAac-1nxIc;유능한 뱃사공;1135;srIP6KfEesXfNakJkQlBiwO6IPRL_NT_hJ_4qbjPxwBhEK3EsWsaLuY3RAXZMw5TYOSzdv1P_ZnVeA;1558990533000;115
0;87MsoZC_FuEKIzBvGur_MyjrT_wZM8M4e47GHKTESOLmyulcU3zftF46;OyGIm0aV7vQAgCLgow9qVhc4bY93hdBOIVFEkOWS5ucooGU;Can trust me;3478;-QDWc_xzG599xeuGNv-345-kN2DO06xv9lzH9fSls0PD9KB5XU0jJ5EHaGicNVhab5vXBrQ14KMRrg;1558848388000;97
0;Mri55Ydaw1IX6nx3l11indGf45tYvkexOQ5RG1gQVV6jpz0wKFfAryuV;WkpElWflBC7GdGUlbBPAaTBTocB_YfXr4sCDGZqGJwc9qTA;qwqeqweqweqweqw;3478;hobZZnexJt4rpN7jyXkE6gjyAjcqRFClW-D82eE0NzIJQuaufJLiNeY3_zquyRKMbL-15I-2QbpGSg;1558668543000;86
0;zvgqUQyN7FYFU1mLzDjG8Fp3bR-8dFSyLHhjgSKb31jym-0;f3E4Zo5wjPHSxsRuk7sGpHBgrBVOhr0LQKko_lfNtC5jB0E;똥받이서포터1;642;pTPTI8XYhull1E4q1fHMxueJ9MtE-a2geKW1XTOawTBp8Czil3ex7oLb3CvWqYbPfWLMgdC1PHlCbg;1558682193000;224
0;LQZBrQmyMcgXJgIgYKtuaO1p_tGUk0A5e4QF_Pm03hneMLLnz6QpTWHL;6MRcXmddiXthkzMvXJRe7_nofmHSEF3kkK2GejMQmkDVQ9c;Jaclyn9;23;SB74pLwgW2XeGTXntlwCXH-zKwpSdyOun1ptBLWTBeiboqHVEvwBNgL2opDq6inv5V9cWRrbnTtDLg;1558962950000;48
0;pYTOiQgfSypxzoNDgPHh8eQFMGlFg1RVFyF_1AR1T_512It6JiYrbkuL;1osz0x5rn0P4shusr-QfpgmblyPxnElag7aasXO1eEQhkXw;LongDi HuYa;7;gdyvfRK1S4BeGH6GHtxvjheJbOpdsGBioSdieSvf1f7Nr9ZqLrl27oZcMisW2WyyjAe76mz_ig1whQ;1558948903000;71
0;t1sAibmLKiv6_VOs0RSzg50sxMkNB-1SaZTPimsGDZhg3s4;gbnqTdg7RKorAprthNN2dP6iVPVtNAlGThxKDUDol046Dzk;정드븐;8;JTPdVCnZu5qNsJ4fajfELSz-aoj399zcBDeAYGVrbpPO__V746KFtEvLtYmNfG8Erx88plR1VS73Ow;1558966793000;136
0;lYZYKxAjjZ3XyCia5n_oIUe_sO6hVBGnBWRjnG1QCdkRSBnSSwzynOhv;nZYEnKa-geAT3q4nrGsuEHtBaQVyoMBqib1gii9V2hvWErE;Actoz top;3478;xLtob1HM72gy0zLs5q4yCHcRupYV3pxkOS2zCaBSGfKQW_HwOf43Oggo-umDWEAJzAeR3d3GlLhbSw;1558908138000;65
0;jAPsFpwI8laAwxH5GpEwnDLBkuJT8LA11mDtma5wL9Eida4;XmtBB2QD0PSDVQyxmwLi2mtyynoBg4TFBiOko91w6wafV6Q;세체원이될사나이;4094;ZkjlxvhnCChh36c3FstWsULP1tuVz6sg3-q6oRuEKF95Ls97_O014MDErt0ZL6Y9Skp7sbkf9gBntg;1558988897000;216
0;OYbads0DXlFaDPF4PDoF0Ho_jeaWcNUZ_hdEFg3RQ06Z1EA;yx_6Br0rMqhDmUtZDRbCTQbfFOHbQ7gYfHSlywt6z3EMJUk;작은 모래성;3506;j_OUXMtZvmcnV4-p4Qf21vR-NQ2Lb3epjKV8hrctDN7qI5zxLHn26-g_Hn8OHwOSQ2W19CIYXqnKng;1558941360000;183
0;kWzLrhimSf4jnSfhulakBGCn3Gbmb0D58GX78CKJ5rakoKE;zcO8WGXoR3i8rNexq7xFuZKasv3mL1nm6TMNxZZMknJ-CkA;haki player;4036;zb9M5pcSnZMxfwqvGLXrMJ8ORWoollSVHVbvdH2a8CSmN2H5uTHRqAZI7cg7a65a0_4aJ05y30kmUA;1558989291000;183
0;lPQvL6_7dA1R_zDwTTzCLJ9P9aL8uTxcQY_wWpXpM9t3_1g;IPgiuNpfefBRCGjSjQ3pCdDh4yIbO4wXRrlBxF9xvzj2zns;Top op line;23;ruuKbjzRx5oNK1-RziqbHERdGJeU7tDFfDKldOx6vo-bUlrpXCyjKKDDgczt4GW0EN2ZZuLNSjUJjQ;1558935788000;148
0;BlSFVIfS6mkis84Vm6UfY-mvZ4FkllLIunAvYJGqze0wK-o;oq_WGhMXTosVBJD0kJ3cd8cmdbPFXhBJ9INv2zBirfn9cn0;thgink9;3478;k169thtKGz1-E8q65ndRFzS8D8Lsk0hWRp1RoN_CyRj2DgnpPuT_vWYl2AKdfNKmWcQAq4KWaJ5Mcw;1558769038000;208
0;r9JG3XHgbiNlpWl24vEf86HR2Uz9o0TavcI_pcXR7Mfr;TYflMC0gQ8mtGRr63vqWsOgR1fKJEegLSXPK04-OoAvxjw;H2de;4099;7XuRjAZ6lJf7PA01RpmZFpZaGzZmaE5q6OLXXmiIVEPU7g6hO8YM7Fja1T9QXtFhrPKKjRuUQN7n5A;1558958449000;259
0;vzJalR_wsh7Z-0lgzmzb3WqPHAB_f1v0ySAORjMjd3XCNlg;DDfu0S6h3fzIDqWk9SK9RQGwxL-77kKhXbeNJlLC2_v_UC8;YUSUNGJIN;3478;YtEDttalo3TcCDKGPkL76cI8zs2CR5kXyHyxE3xX5piJif-hxzC1ctwbn7dM5FtL8brGhOaUGUJjHg;1558960580000;235
0;CmrIHVRIqqonZ8Q7MzuqyPBFUcv_xZ4x1FHydDfWiM1E57s;COzvmDDqy5qWXh9w5t1tR8DgYWQcGRWVDuXmtKmyYz0zXHs;지성0153;23;_v-sPLwngRI1Q9vkThZ68CejKuHxWfaHUXsFswTlF2lRs30MpSg92ed0-zbbtrH9uIMfZ_TZZCXuFg;1558685391000;150
0;JIocBtLE10lXGZjPxfbeIUCEs51MJHzheK_2meMK78UUz-vRAuc5aLOV;rR9Ks3NvJLS2JgNL8K5CQLO4OWNs30x_UW2ommOVcbKHip8;일랜시아1;3991;3-vAKaG-sYdzRmtl-dIEgzrOOJvkBsdLan3qDpOUwL2A6njKusEU3IISVPvIcLHEzJREHveqx006AA;1558943987000;75
0;DXwsKIZ6wAemmIiBReWVtjc7dWbgYXSs8wkFF-fWLuzN;FvomUEAYj0pZLwnUtUlOpKoQEF_HM3WcHYl_-fVgWuQ77w;구봉마을;3478;PpQTCiSaKxHazZGh_dLczRgtcPgMoeODJR7ZO-9fwTO0JBazPLe4Cn9iF96w9KueYHm-UW2Z5GeQsQ;1558949919000;216
0;cnHxIaBbYlwse8McxGk7mnRAp7zW1ZsBqY7yMHcXCfjg_98;8wiWslxJLU3WPuBT4oFt49xd5IsV8DT-XAEdU6sQSpQ9UUU;Eskimos;7;z6hWqutlejSOZjRlWUb7YU_rhmB-WLZSDuV0gFl9Jx-nUlbCon6aawlO6txjLu5C96uUishy7mgNrg;1558839613000;214
0;MAk7Umq2GNfElTh4cah2DojUrQOJav76ezaOkPh-6YVVYAY;Wz9XkAE9R7NtQcrvsii_bG0Tqmh-GPhEoyBgi1Zam3oJOfc;살금살금해;4087;kQmW7JqATyA8qV-zrIDBVAnaG6mI1n8iuwgtTQuOf4BViZOyVQ45HivbszzgLTDOSlMvIaqy6LGTkA;1558939060000;129
0;GqRxl0nXuE0i2pcyVmoewJWF89KQzSP-NEpqd8i4PKLBDtc;lE-ruACQyGYPJ-ZoNY6L0eQXzlNRQOwsz0YfiwrD5d2P4tc;1등찍고돌아올게;3864;6d4lgzEemeZJqn9Fo84OzHC6aiANEJwTvM-dIgi7MyPTc_FXX21afTUyPWDVSmoaE0811LtsfaKLiA;1558940471000;211
0;3CF3T7dnyLii9ahIjpZT7pvQ7HxmdPNB9WhniCcoSprs;bB28ViadLmvPTuI4K_nFiwP4OgLmH7nWXJGfnSNBFtc3BA;B3n4;22;c3en94Gx_I3ceHNax9lfINrv77hcJ9thmy4Q6aIUT77zlqg7snciyBH7G663vUELHY00VFOyFi-4wg;1558961920000;137
0;Ena9CZPwOnSsCe6yfmIAUFWC3ccXu7oGRUEPKWhSHD3DfaE;yL4DOo3mxh_luxCo4ON0KPfbAv6bmFJY249CvduX0q6_HmM;가치 있는 상대;13;BbaPXD-xuVwrkTZ-dQlcb2yDSDxqRnRtfzp2AIkD8qXExkjmN7xg8G-JXfTNFzhgp_aHi2ijG-iQMQ;1558930569000;133
0;N-vdseIWgIlVYAU-oV2UYwp-RsJHrgkg0JfEYwK5SPgZCh4;W0gheDNRTJ6oqp28Z34wjAWeTIyO8DE0LQJm0EowhPuE-iE;쿠쟈니;3879;kDCAw8em3I3tBKupnCu7TkD-_oo1N7wXAklicg3KaaGTqEoZUAO8lQ2elYXejyGkOw_03cfqqb4zIQ;1558951641000;104
0;FyN8mVcquiI5uyZNWDq58e3ATlg18NKenv8SYdKqaYEA;7sBr8wmwaSCcdGDJrbF3uxLk7-IwXTItrdK7bMsKezqvhA;VSG 퓨어;3478;U62SLq2cfkdJiQsFGtC13hP7aFdZnD8eoFoUbNv8e2reLxuXN7Lly9mT0-vA2rOZKdcayjhHYfI5eQ;1558951275000;151
0;vqxx8tzw7snkMAn-yTBkaBC4m_srzB6Y76KT8BAmuaDJHS0;rLXhZKvvQnI8GN1F2WUE7epHu0LfO51gFQIpdDa-19kVQIs;SPG Winter;3846;ZaIaEkDs04rKXr2CVzjt7suRrBzn6S7FJV0xIMy90plsZl-ePgfDhn9DauAcFNyYq0BWuAofcfLUtg;1558953714000;207
0;cEkcTneODEShpyBIpVO1RGzC8XK29Fa6iJbgXRrEN7Mw;71FqJLjycfjpLNgI_FaUavFyLei4sXyAyvLJ0_5Zu1vBGA;Decomposition;4104;6AggNOyzMOx7HcNjNSXgv3VUuqyeg_Prhk1PhnUx8W-3u7XGwn3P8PCbP5i0rcuaa2z0zKvJcHA3LQ;1558988444000;200
